comparison,iteration,metric,difference
Fusion_60_40_minus_Image_Only,57,unhealthy_recall,0.0
Fusion_60_40_minus_Image_Only,57,unhealthy_f1,-0.007240948813982517
Fusion_60_40_minus_Image_Only,58,accuracy,-0.07236842105263164
Fusion_60_40_minus_Image_Only,58,balanced_accuracy,-0.08822450476889221
Fusion_60_40_minus_Image_Only,58,macro_f1,-0.08988118460060157
Fusion_60_40_minus_Image_Only,58,unhealthy_recall,-0.15517241379310348
Fusion_60_40_minus_Image_Only,58,unhealthy_f1,-0.13158878504672888
Fusion_60_40_minus_Image_Only,59,accuracy,-0.021428571428571463
Fusion_60_40_minus_Image_Only,59,balanced_accuracy,-0.027083333333333348
Fusion_60_40_minus_Image_Only,59,macro_f1,-0.027094474153297687
Fusion_60_40_minus_Image_Only,59,unhealthy_recall,-0.06666666666666665
Fusion_60_40_minus_Image_Only,59,unhealthy_f1,-0.042424242424242475
Fusion_60_40_minus_Image_Only,60,accuracy,-0.06000000000000005
Fusion_60_40_minus_Image_Only,60,balanced_accuracy,-0.05803571428571419
Fusion_60_40_minus_Image_Only,60,macro_f1,-0.06235836688258556
Fusion_60_40_minus_Image_Only,60,unhealthy_recall,-0.08750000000000002
Fusion_60_40_minus_Image_Only,60,unhealthy_f1,-0.07817029958123045
Fusion_60_40_minus_Image_Only,61,accuracy,-0.08536585365853655
Fusion_60_40_minus_Image_Only,61,balanced_accuracy,-0.10631229235880402
Fusion_60_40_minus_Image_Only,61,macro_f1,-0.10829346123834305
Fusion_60_40_minus_Image_Only,61,unhealthy_recall,-0.14285714285714285
Fusion_60_40_minus_Image_Only,61,unhealthy_f1,-0.15869715869715872
Fusion_60_40_minus_Image_Only,62,accuracy,-0.020134228187919434
Fusion_60_40_minus_Image_Only,62,balanced_accuracy,-0.018173598553345438
Fusion_60_40_minus_Image_Only,62,macro_f1,-0.01809301488492232
Fusion_60_40_minus_Image_Only,62,unhealthy_recall,0.014285714285714235
Fusion_60_40_minus_Image_Only,62,unhealthy_f1,-0.012307692307692242
Fusion_60_40_minus_Image_Only,63,accuracy,0.0
Fusion_60_40_minus_Image_Only,63,balanced_accuracy,-0.004020979020978976
Fusion_60_40_minus_Image_Only,63,macro_f1,-0.003171145159147515
Fusion_60_40_minus_Image_Only,63,unhealthy_recall,-0.03076923076923077
Fusion_60_40_minus_Image_Only,63,unhealthy_f1,-0.010110020814748766
Fusion_60_40_minus_Image_Only,64,accuracy,-0.04026845637583887
Fusion_60_40_minus_Image_Only,64,balanced_accuracy,-0.07478354978354973
Fusion_60_40_minus_Image_Only,64,macro_f1,-0.07034303996920821
Fusion_60_40_minus_Image_Only,64,unhealthy_recall,-0.15909090909090912
Fusion_60_40_minus_Image_Only,64,unhealthy_f1,-0.11904761904761907
Fusion_60_40_minus_Image_Only,65,accuracy,-0.03703703703703709
Fusion_60_40_minus_Image_Only,65,balanced_accuracy,-0.03651385927505335
Fusion_60_40_minus_Image_Only,65,macro_f1,-0.044020457319690065
Fusion_60_40_minus_Image_Only,65,unhealthy_recall,-0.0357142857142857
Fusion_60_40_minus_Image_Only,65,unhealthy_f1,-0.06287625418060205
Fusion_60_40_minus_Image_Only,66,accuracy,-0.0359281437125748
Fusion_60_40_minus_Image_Only,66,balanced_accuracy,-0.036154949784792056
Fusion_60_40_minus_Image_Only,66,macro_f1,-0.03740557370790243
Fusion_60_40_minus_Image_Only,66,unhealthy_recall,-0.04878048780487809
Fusion_60_40_minus_Image_Only,66,unhealthy_f1,-0.04547184170471841
Fusion_60_40_minus_Image_Only,67,accuracy,0.0066225165562914245
Fusion_60_40_minus_Image_Only,67,balanced_accuracy,0.007834507042253414
Fusion_60_40_minus_Image_Only,67,macro_f1,0.008101279593336619
Fusion_60_40_minus_Image_Only,67,unhealthy_recall,0.028169014084507005
Fusion_60_40_minus_Image_Only,67,unhealthy_f1,0.014094432699083836
Fusion_60_40_minus_Image_Only,68,accuracy,-0.04799999999999993
Fusion_60_40_minus_Image_Only,68,balanced_accuracy,-0.047747055811572015
Fusion_60_40_minus_Image_Only,68,macro_f1,-0.049899368758819396
Fusion_60_40_minus_Image_Only,68,unhealthy_recall,-0.07936507936507942
Fusion_60_40_minus_Image_Only,68,unhealthy_f1,-0.06368655926178046
Fusion_60_40_minus_Image_Only,69,accuracy,-0.038961038961038974
Fusion_60_40_minus_Image_Only,69,balanced_accuracy,-0.03785103785103794
Fusion_60_40_minus_Image_Only,69,macro_f1,-0.03976687643861343
Fusion_60_40_minus_Image_Only,69,unhealthy_recall,-0.031746031746031744
Fusion_60_40_minus_Image_Only,69,unhealthy_f1,-0.046479415159676796
Fusion_60_40_minus_Image_Only,70,accuracy,-0.050000000000000044
Fusion_60_40_minus_Image_Only,70,balanced_accuracy,-0.049428104575163445
Fusion_60_40_minus_Image_Only,70,macro_f1,-0.051663624787775864
Fusion_60_40_minus_Image_Only,70,unhealthy_recall,-0.06944444444444442
Fusion_60_40_minus_Image_Only,70,unhealthy_f1,-0.06274999999999997
Fusion_60_40_minus_Image_Only,71,accuracy,-0.030303030303030276
Fusion_60_40_minus_Image_Only,71,balanced_accuracy,-0.029166666666666674
Fusion_60_40_minus_Image_Only,71,macro_f1,-0.02975393965418871
Fusion_60_40_minus_Image_Only,71,unhealthy_recall,-0.016666666666666607
Fusion_60_40_minus_Image_Only,71,unhealthy_f1,-0.030581039755351758
Fusion_60_40_minus_Image_Only,72,accuracy,-0.042424242424242475
Fusion_60_40_minus_Image_Only,72,balanced_accuracy,-0.040400876918258666
Fusion_60_40_minus_Image_Only,72,macro_f1,-0.04406779346830725
Fusion_60_40_minus_Image_Only,72,unhealthy_recall,-0.032258064516129004
Fusion_60_40_minus_Image_Only,72,unhealthy_f1,-0.05374094931617057
Fusion_60_40_minus_Image_Only,73,accuracy,-0.054545454545454564
Fusion_60_40_minus_Image_Only,73,balanced_accuracy,-0.06733289646133667
Fusion_60_40_minus_Image_Only,73,macro_f1,-0.06901724006987164
Fusion_60_40_minus_Image_Only,73,unhealthy_recall,-0.1071428571428571
Fusion_60_40_minus_Image_Only,73,unhealthy_f1,-0.101010101010101
Fusion_60_40_minus_Image_Only,74,accuracy,-0.0326797385620915
Fusion_60_40_minus_Image_Only,74,balanced_accuracy,-0.0354597291518175
Fusion_60_40_minus_Image_Only,74,macro_f1,-0.03626109541057987
